What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
How common is SOB in palliative care?	Card 1	2015-11-20	Palliative Care SCE
Drugs causing constipation	Card 1	2015-11-20	Palliative Care SCE
Causes of SVC obstruction	Card 1	2015-11-20	Palliative Care SCE
What are the NNT for bisphosponates in bone mets?	Card 1	2015-11-20	Palliative Care SCE
What is the treatment of chronic DIC?	Card 1	2015-11-20	Palliative Care SCE
What is the mode of action of riluzole ?	Card 1	2015-11-20	Palliative Care SCE
What is Kantian thought?	Card 1	2015-11-20	Palliative Care SCE
Who can register a death?	Card 1	2015-11-20	Palliative Care SCE
According to Urinary incontinence in neurological disease (2012), NICE, what are the complications of augmentation cystoscopy?	Card 1	2015-11-20	Palliative Care SCE
In the Cochrane review for radiotherapy for painful bone mets (2008) what is the percentage of people who have a response of 50%?	Card 1	2015-11-20	Palliative Care SCE
According to Cochrane Reviews, do diuretics reduce the risk of death from heart failure?	Card 1	2015-11-20	Palliative Care SCE
What is the evidence for opioids in neuropathic pain?	Card 1	2015-11-20	Palliative Care SCE
According to Cochrane, what is the level of evidence for riluzole for MND?	Card 1	2015-11-20	Palliative Care SCE
What is the level of evidence for methylphenidate and pemoline for HIV related fatigue?	Card 1	2015-11-20	Palliative Care SCE
What is the level of evidence to support the use of steroids in fatigue in palliative care?	Card 1	2015-11-20	Palliative Care SCE
What is the evidence for home O2 in instititial lung disease?	Card 1	2015-11-20	Palliative Care SCE
What is the level of evidence for music therapy in breathlessness?	Card 1	2015-11-20	Palliative Care SCE
If a person has a PPM, what is the effect on their licence to drive?	Card 1	2015-11-20	Palliative Care SCE
What is the NNT for melatonin?	Card 1	2015-11-20	Palliative Care SCE
What should abiraterone be taken with?	Card 1	2015-11-20	Palliative Care SCE
What is the indication of gefitinib/erlotinib?	Card 1	2015-11-20	Palliative Care SCE
What are the side effects of gefitinib/erlotinib?	Card 1	2015-11-20	Palliative Care SCE
In an acute flare of MS {{c1::IV or PO methylprednisolone}} is used for {{c2::3-5 days}}.	Cloze 1	2015-11-20	Palliative Care SCE
Baclofen withdrawal syndrome can include symptoms similar to {{c1::neuroleptic malignant syndrome}} and {{c3::perceptual disturbance (hallucinations, delirium, confusion)}}, in the context of {{c2::abruptly stopping baclofen}}.	Cloze 2	2015-11-20	Palliative Care SCE
Which drugs in heart failure improve long term prognosis?	Card 1	2015-11-20	Palliative Care SCE
The EAPC document on depression in heart failure recommends {{c1::SSRIs}}, {{c2::sertraline}} or {{c3::mirtazapine}}.	Cloze 1	2015-11-20	Palliative Care SCE
In COPD, patients should be assessed for LTOT when their sats are {{c1::<92%}}, their {{c2::FEV1 <30%}} or there is evidence of {{c3::cyanosis}}, {{c4::polycythaemia}}, {{c5::peripheral oedema}} or {{c6::raised JVP}}.	Cloze 3	2015-11-20	Palliative Care SCE
In MND, if the patient's sats are {{c1::>94% with no lung disease}}, or {{c2::>92% with lung disease}}, with other Ix OK - then NIV is not needed.	Cloze 2	2015-11-20	Palliative Care SCE
In MND, if a patient's sats are low, check the ABG. If their {{c1::CO2 is normal}} then refer to the NIV service. If their {{c2::CO2 is >6}}, then urgently refer for NIV within one week.	Cloze 1	2015-11-20	Palliative Care SCE
Bob has an area of skin which is a non-blanchable erythema of intact skin.   He has a {{c1::Grade 1}} pressure ulcer.	Cloze 1	2015-11-20	Palliative Care SCE
Which drugs are cytochrome P450 inducers?	Card 1	2015-11-20	Palliative Care SCE
The Cochrane review on breathlessness (2007) says that there is {{c1::strong}} evidence that oral or parentral opioids improve breathlessness.	Cloze 1	2015-11-20	Palliative Care SCE
Mirels’ scoring system is based on four characteristics:  {{c1::(1) site of lesion}} {{c2::(2) nature of lesion, i.e whether it is lytic, blastic or mixed}} {{c3::(3) size of lesion}} {{c4::(4) pain}}.	Cloze 1	2015-11-20	Palliative Care SCE
Mirels’ scoring system is based on four characteristics:  {{c1::(1) site of lesion}} {{c2::(2) nature of lesion, i.e whether it is lytic, blastic or mixed}} {{c3::(3) size of lesion}} {{c4::(4) pain}}.	Cloze 4	2015-11-20	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~43000}} new {{c2::breast cancer}} diagnoses registered in England, in 2012.	Cloze 2	2015-11-20	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~19000}} new {{c2::colon/rectum cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-20	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::non-Hodgkins lymphoma}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 3	2015-11-20	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~3000}} new {{c2::leukaemia}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 3	2015-11-20	Palliative Care SCE
A Miami-J collar limits {{c1::flexion, extension and rotation}} between {{c2::C2 and C5}}.	Cloze 1	2015-11-20	Palliative Care SCE
In autonomic dysreflexia, {{c1::sympathetic overactivity}} below a spinal lesion above the level of T6 can result in {{c2::parasympathetic overactivity}} above the lesion.	Cloze 1	2015-11-20	Palliative Care SCE
{{c1::Serotonin}} is involved with {{c2::platelet aggregation}}.	Cloze 1	2015-11-20	Palliative Care SCE
{{c1::Venaflaxine}} and {{c2::SSRIs}} are useful for hot flushes associated with menopause, hormone therapy and androgen-ablation therapy for prostate cancer.	Cloze 1	2015-11-20	Palliative Care SCE
If there is concurrent use of an NSAID with a {{c1::steroid}}, {{c2::low-dose aspirin}} or {{c3::anticoagulant}}, the risks of NSAID related upper GI complications are significantly increased.	Cloze 3	2015-11-20	Palliative Care SCE
Patients who have advanced disease, are performance status 0-1, have predominantly non-squamous NSCLC and are EGFR mutation {{c2::negative}} should be offered combination systemic anticancer therapy with {{c1::cisplatin and pemetrexed}}.	Cloze 1	2015-11-20	Palliative Care SCE
In patients with superior vena cava obstruction due to SCLC, {{c1::systemic anti cancer therapy/radiotherapy is recommended}} as initial treatment, but {{c2::stenting may be considered}} for relapse or persistent superior vena cava obstruction.	Cloze 2	2015-11-20	Palliative Care SCE
Use of NSAIDs with methotrexate can cause it to {{c1::accumulate}}, increasing the risk of {{c2::severe renal toxicity}}.	Cloze 2	2015-11-20	Palliative Care SCE
Both fentanyl and buprenorphine have little effect on the sphincter of {{c1::Oddi}}.	Cloze 1	2015-11-20	Palliative Care SCE
The absence of cloudy urine, dysuria and recent-onset nocturia, have a negative predictive value of {{c1::67%}} for UTI.	Cloze 1	2015-11-20	Palliative Care SCE
If a urine dipstick is nitrite +ve and either blood or leucocyte +ve, the positive-predictive value for a UTI is {{c1::92%}}.	Cloze 1	2015-11-20	Palliative Care SCE
The signs of severe C. difficile infection are: {{c1::T >38.5}} {{c2::HR >100 BPM}} {{c3::WCC >15}} {{c4::Creatinine rising >50% above baseline}} {{c5::Clinical/Radiographical evidence of colitis}}	Cloze 1	2015-11-20	Palliative Care SCE
{{c1::Androgen deprivation treatment}} in prostate cancer results in {{c2::increased bone loss}}.	Cloze 1	2015-11-20	Palliative Care SCE
In {{c1::prostate cancer}} treated with androgen deprivation treatment, bisphosphonates {{c2::reduce the rate of bone loss}}.	Cloze 2	2015-11-20	Palliative Care SCE
Ibandronic acid can be used in an eGFR {{c1::<30}}.	Cloze 1	2015-11-20	Palliative Care SCE
{{c2::Octreotide}} reduces {{c1::splanchnic}} blood flow.	Cloze 2	2015-11-20	Palliative Care SCE
In Type 1 diabetes, the use of {{c2::stomatostatin analogues}} can reduce insulin needs by {{c1::50%}}.	Cloze 2	2015-11-20	Palliative Care SCE
Megestrol acetate increases weight by an average of {{c1::2kg}} in {{c2::~8%}} of patients.	Cloze 1	2015-11-20	Palliative Care SCE
Low-grade {{c1::peripheral neuropathy}} occurs in {{c2::>80%}} of patients receiving {{c3::thalidomide}}.	Cloze 1	2015-11-20	Palliative Care SCE
Thalidomide is associated with: 1. {{c1::Arrhythmia}} 2. {{c2::Oedema}} 3. {{c3::Hypotension}}	Cloze 1	2015-11-20	Palliative Care SCE
What is the NNT for topical NSAIDs to achieve a 50% pain reduction?	Card 1	2015-11-20	Palliative Care SCE
Baclofen should be {{c1::dose-reduced}} in {{c2::renal impairment}}.	Cloze 2	2015-11-20	Palliative Care SCE
NICE recommends nutritional support for patients with: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::10%}} in the last {{c2::3-6}} months - BMI <{{c3::20}} and unintentional weight loss of >{{c3::5%}} - Inadequate oral intake for >{{c4::5}} days - {{c5::malabsorption}}, increased {{c5::nutrient}} losses, increased {{c5::catabolism}}.	Cloze 3	2015-11-20	Palliative Care SCE
After how many days of little to no nutritional intake is a high risk for refeeding syndrome?	Card 1	2015-11-20	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 6	2015-11-20	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:   1. Patient's {{c1::name, address and date of birth}} 2. Destinations and dates of {{c2::outward}} and {{c2::return}} travel 3. {{c3::Names}}, {{c4::forms}}, {{c5::strengths}} {{c6::and total amounts}} of the drugs being carried.	Cloze 6	2015-11-20	Palliative Care SCE
In depression, what in the family history would place a patient in a high-risk group for suicide?	Card 1	2015-11-20	Palliative Care SCE
If a a patient has a {{c2::personality}} disorder and {{c3::depressed}}, they are at {{c1::high}} risk for {{c4::suicide}}.	Cloze 4	2015-11-20	Palliative Care SCE
A patient with ovarian cancer is referred to you with bilateral muscle weakness. She reports an itchy rash over her flexor surfaces. You note a heliotrope rash over her face. What is the paraneoplastic syndrome?	Card 1	2015-11-20	Palliative Care SCE
A patient with breast cancer and a facial rash has been investigated for muscle weakness. The EMG report says:   EMG findings of spontaneous muscle fibrillation and short polyphasic muscle potentials.   What is the likely paraneoplastic syndrome?	Card 1	2015-11-20	Palliative Care SCE
A stellate ganglion block is aimed at {{c1::C6/7/8}}, and is for {{c2::head and neck}} cancer	Cloze 1	2015-11-20	Palliative Care SCE
SEs of METOCLOPRAMIDE	Card 1	2015-11-21	Palliative Care SCE
Categories of evidence?	Card 1	2015-11-21	Palliative Care SCE
What is the mode of action of methylnaltrexone?	Card 1	2015-11-21	Palliative Care SCE
What is utilitarianism?	Card 1	2015-11-21	Palliative Care SCE
In the context of neurological disease and urinary incontinence, to whom should urodynamic studies not be offered to according to NICE?	Card 1	2015-11-21	Palliative Care SCE
According to 'Urinary incontinence in neurological disease (2012)', NICE, when should botulinin A toxin be offered?	Card 1	2015-11-21	Palliative Care SCE
What is the level of evidence for the use of amantadine for fatigue in patients with MS?	Card 1	2015-11-21	Palliative Care SCE
What is the evidence of efficacy for steroids in IPF?	Card 1	2015-11-21	Palliative Care SCE
If a person has acute psychosis, what is the effect on their licence to drive?	Card 1	2015-11-21	Palliative Care SCE
If a person is currently taking an opiate/BZD/ketamine for theraputic reasons, and is found to be impaired whilst driving by the police, what is the effect on their licence to drive?	Card 1	2015-11-21	Palliative Care SCE
What is the mode of action of tapentadol?	Card 1	2015-11-21	Palliative Care SCE
Do you need to monitor renal function with denosumab?	Card 1	2015-11-21	Palliative Care SCE
{{c1::Tricyclic antidepressants}} can worsen autonomic dysfunction in Parkinson's disease, so {{c2::SSRIs or mirtazapine are preferred}} instead.	Cloze 2	2015-11-21	Palliative Care SCE
In Parkinson's disease, {{c1::Psychotic symptoms}} are potentially triggered by {{c2::anti-Parkinsonian medication}}, especially {{c3::rotigitine}} and {{c4::apomorphine}}.	Cloze 4	2015-11-21	Palliative Care SCE
The best antiemetic in Parkinson's disease is {{c1::domperidone}} as it {{c2::does not cross the blood brain barrier}}, or {{c3::ondansetron/granisetron}}, or {{c4::anti-muscarinics}}.	Cloze 4	2015-11-21	Palliative Care SCE
In MS, beta-interferon/glatiramer is offered to patients with {{c1::relapsing/remitting disease}}, with {{c2::2 or more relapses in 2 years}} and who are {{c3::mobile >100m}}.	Cloze 2	2015-11-21	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 5	2015-11-21	Palliative Care SCE
Which drugs in heart failure improve symptoms?	Card 1	2015-11-21	Palliative Care SCE
In COPD, patients should be assessed for LTOT when their sats are {{c1::<92%}}, their {{c2::FEV1 <30%}} or there is evidence of {{c3::cyanosis}}, {{c4::polycythaemia}}, {{c5::peripheral oedema}} or {{c6::raised JVP}}.	Cloze 4	2015-11-21	Palliative Care SCE
Bob is fully active, able to carry on all pre-disease performance without restriction.   His Eastern Cooperative Oncology Group score is {{c1::0}}.	Cloze 1	2015-11-21	Palliative Care SCE
In MND, if the patient's sats are {{c1::>94% with no lung disease}}, or {{c2::>92% with lung disease}}, with other Ix OK - then NIV is not needed.	Cloze 1	2015-11-21	Palliative Care SCE
It is a statutory requirement for NHS and Social care Caldecott Guardians to be {{c1::registered on the publicly available National Register of Caldecott Guardians}}. Other health and social organisations can be registered, but {{c2::this is optional}}.	Cloze 1	2015-11-21	Palliative Care SCE
A {{c1::licence}} is required to export {{c2::Schedule 2}} drugs.	Cloze 1	2015-11-21	Palliative Care SCE
A {{c1::register}} is not required of {{c2::Schedule 3, 4, and 5}} drugs.	Cloze 2	2015-11-21	Palliative Care SCE
A patient with lymphoedema and suspected cellulitis should be admitted to hospital if they have {{c1::signs of severe sepsis}}, {{c2::continued deterioration of systemic clinical signs after 48 hours of PO antibiotics}}, {{c3::continued worsening of local signs despite trials of first and second line ABx}}.	Cloze 1	2015-11-21	Palliative Care SCE
If a patient with lymphoedema is being managed in hospital for cellulitis, the first line antibiotic is {{c1::IV amoxicillin 2g TDS with gentamicin 5mg/kg}}, the second line is {{c2::clindamycin 1.2g QDS}}.	Cloze 2	2015-11-21	Palliative Care SCE
Patients with lymphoedema who have two or more attacks a year of cellulitis, should be offered {{c1::prophalactic antibiotics}}.	Cloze 1	2015-11-21	Palliative Care SCE
Cordotomy is good for patients with {{c1::pain in a hemi-quadrant}}, {{c2::pain more than a hands breadth away from the mid line}}, {{c3::pain below C4}}, and the patient's prognosis is {{c4::<2 years}}.	Cloze 1	2015-11-21	Palliative Care SCE
What is the risk of permanent weakness in cordotomy?	Card 1	2015-11-21	Palliative Care SCE
In patients with malignant pleural effusion, where only {{c1::partial pleural apposition can be achieved}}, {{c2::chemical pleurodesis may still be attempted}} and may provide {{c3::symptomatic relief}}.	Cloze 1	2015-11-21	Palliative Care SCE
{{c1::Bleomycin}} is an {{c2::alternative sclerosant}} for pleurodesis with a modest efficacy rate.	Cloze 1	2015-11-21	Palliative Care SCE
{{c1::Pleuritic chest pain}} and {{c2::fever}} are the {{c3::most common side effects}} of sclerosant administration.	Cloze 3	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~145000}} new cancer diagnoses in men, registered in England, in 2012.	Cloze 1	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~37000}} new {{c2::prostate cancer}} diagnoses registered in England, in 2012.	Cloze 2	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~20000}} new {{c2::lung cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~15000}} new {{c2::colon/rectum cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 1	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~7000}} new {{c2::uterine cancer}} diagnoses registered in England, in 2012.	Cloze 2	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::non-Hodgkins lymphoma}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::melanoma}} diagnoses {{c3::in women and men}} registered in England, in 2012.	Cloze 2	2015-11-21	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::leukaemia}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-21	Palliative Care SCE
Doses of risperidone should be {{c1::reduced}} in {{c2::hepatic impairment}}.	Cloze 2	2015-11-21	Palliative Care SCE
The coeliac plexus arises from the {{c1::sympathetic fibres}} of the {{c2::splanchnic nerves}} from {{c3::T5-T12}}.	Cloze 2	2015-11-21	Palliative Care SCE
{{c1::Two small RCTs}} suggest benefit from {{c2::sertraline}} in {{c3::cholestatic pruritus}}.	Cloze 1	2015-11-21	Palliative Care SCE
{{c1::Two small RCTs}} suggest benefit from {{c2::sertraline}} in {{c3::cholestatic pruritus}}.	Cloze 2	2015-11-21	Palliative Care SCE
If there is concurrent use of an NSAID with a {{c1::steroid}}, {{c2::low-dose aspirin}} or {{c3::anticoagulant}}, the risks of NSAID related upper GI complications are significantly increased.	Cloze 2	2015-11-21	Palliative Care SCE
Combination intravenous systemic anticancer therapy should be considered for patients with {{c1::SCLC}} over {{c2::70}} years of age with performance status {{c3::0-2}}.	Cloze 3	2015-11-21	Palliative Care SCE
In postmenopausal women who have breast cancer, aromatase inhibitors can be given {{c1::first line}} for up to {{c2::five}} years.	Cloze 1	2015-11-21	Palliative Care SCE
Survivors of childhood cancer who have had anthracyclines or radiation to a field that includes the heart should have {{c1::long term monitoring}} for cardiac dysfunction using echocardiography to determine fractional shortening and ejection fraction.	Cloze 1	2015-11-21	Palliative Care SCE
Teenage boys should be referred for {{c1::semen cryopreservation}} if their fertility is considered to be at risk.	Cloze 1	2015-11-21	Palliative Care SCE
The effect of NSAIDs on the {{c3::kidney}} may cause sulphonureas to {{c1::accumulate}}, putting the patient at risk of {{c2::hypoglycaemia}}.	Cloze 1	2015-11-21	Palliative Care SCE
Codeine is metabolised to morphine via the liver enzyme {{c1::CYP2D6}}.	Cloze 1	2015-11-21	Palliative Care SCE
Tramadol acts as a mu-receptor antagonist, and a presynaptic {{c1::serotonin and noradrenaline}} reuptake inhibitor.	Cloze 1	2015-11-21	Palliative Care SCE
Methadone is poorly removed by {{c1::haemodialysis}}.	Cloze 1	2015-11-21	Palliative Care SCE
Methadone is {{c1::hepatically}} excreted.	Cloze 1	2015-11-21	Palliative Care SCE
The improvement in odour from topical metronidazole occurs within {{c1::2 days}}, but can take up to {{c2::1 month}}.	Cloze 2	2015-11-21	Palliative Care SCE
Oral metronidazole is first line for treatment of {{c1::C. difficile}}	Cloze 1	2015-11-21	Palliative Care SCE
{{c3::Hydrocortisone}} has {{c1::glucocorticoid}} activity and mild {{c2::mineralocorticoid}} activity.	Cloze 1	2015-11-21	Palliative Care SCE
The diagnosis of SIADH is based on: {{c1::1. Hyponatraemia <130}} {{c2::2. Low plasma osmolality <270}} {{c3::3. High urine osmolality >20}} {{c4::4. Euvolaemic}}	Cloze 4	2015-11-21	Palliative Care SCE
Octreotide and lanreotide are {{c1::synthetic analogues}} of {{c2::somatostatin}}.	Cloze 1	2015-11-21	Palliative Care SCE
Octreotide and lanreotide are {{c1::synthetic analogues}} of {{c2::somatostatin}}.	Cloze 2	2015-11-21	Palliative Care SCE
{{c2::Octreotide}} reduces {{c1::salivary}} production.	Cloze 1	2015-11-21	Palliative Care SCE
In Type 1 diabetes, the use of {{c2::stomatostatin analogues}} can reduce insulin needs by {{c1::50%}}.	Cloze 1	2015-11-21	Palliative Care SCE
Somatostatin analogues are used for the treatment of {{c1::acromegaly}}, {{c2::carcinoid}}, {{c3::VIPomas}} and {{c4::glucagonomas}}.	Cloze 4	2015-11-21	Palliative Care SCE
In cancer-related anxorexia-cachexia syndrome, {{c1::IL-1 and TNF}} act on the {{c2::hypothalamus and skeletal muscle}}.	Cloze 1	2015-11-21	Palliative Care SCE
{{c1::Impotence}} can occur in {{c2::10-25%}} of men who take {{c3::megesterol acetate}}.	Cloze 1	2015-11-21	Palliative Care SCE
Megestrol acetate increases weight by an average of {{c1::2kg}} in {{c2::~8%}} of patients.	Cloze 2	2015-11-21	Palliative Care SCE
Peripheral neuropathy is graded: 1. {{c1::No}} loss of function 2. {{c2::Interfering with}} function, but not with {{c2::activities of daily living}} 3. {{c3::Interfering}} with ADLs 4. {{c4::Disabling}}	Cloze 4	2015-11-21	Palliative Care SCE
Oxybutynin is an {{c1::anti-muscarinic}}.	Cloze 1	2015-11-21	Palliative Care SCE
The emergency treatment of hyperkalaemia: 1. Stop the {{c1::drug causing it}} 2. {{c2::10ml of 10% calcium gluconate IV}} 3. {{c3::Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)}}	Cloze 2	2015-11-21	Palliative Care SCE
A hyoscine patch will need to be removed before an {{c1::MRI}} scan.	Cloze 1	2015-11-21	Palliative Care SCE
In drug-induced tardive dyskinesia, what % of patients have complete resolution of symptoms 5 years after stopping the causative drug?	Card 1	2015-11-21	Palliative Care SCE
NICE recommends nutritional support for patients with: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::10%}} in the last {{c2::3-6}} months - BMI <{{c3::20}} and unintentional weight loss of >{{c3::5%}} - Inadequate oral intake for >{{c4::5}} days - {{c5::malabsorption}}, increased {{c5::nutrient}} losses, increased {{c5::catabolism}}.	Cloze 4	2015-11-21	Palliative Care SCE
The diagnosis of cancer-cachexia is any of the following: 1. Weight loss >{{c1::5}}% over the past {{c1::6}} months 2. BMI <{{c2::20}} and weight loss of >{{c2::2}}% 3. {{c3::Sarcopenia}} and weight loss >{{c4::2}}%	Cloze 2	2015-11-21	Palliative Care SCE
If a a patient has a {{c2::personality}} disorder and {{c3::depressed}}, they are at {{c1::high}} risk for {{c4::suicide}}.	Cloze 2	2015-11-21	Palliative Care SCE
The possible protective factors for suicide include: - {{c1::Social support}} - {{c2::Religious belief}} - {{c3::Being responsible for children}}	Cloze 3	2015-11-21	Palliative Care SCE
You notice this on the neck of a patient with stomach cancer:  acantosis_nigricans_benigna5.jpg  What is this?	Card 1	2015-11-21	Palliative Care SCE
A patient with lung cancer reports they can no longer hang the washing up to dry. On examination, they have power of 3/5 in bilateral upper limbs, and weakness in hip flexors. There is no rash. What is the likely paraneoplastic syndrome?	Card 1	2015-11-21	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 3	2015-11-21	Palliative Care SCE
Can you prescribe two anti-emetics?	Card 1	2015-11-22	Palliative Care SCE
What is amitriptyline used for?	Card 1	2015-11-22	Palliative Care SCE
What is sertraline used for?	Card 1	2015-11-22	Palliative Care SCE
What is Trastuzumab?	Card 1	2015-11-22	Palliative Care SCE
What are Virtue ethics?	Card 1	2015-11-22	Palliative Care SCE
What can an IMCA do?	Card 1	2015-11-22	Palliative Care SCE
According to 'Urinary incontinence in neurological disease (2012)', NICE, what should be explained to the patient and family prior to offering botulinin toxin A?	Card 1	2015-11-22	Palliative Care SCE
Is methylnaltrexone recommended by NICE for use in refractory opioid-related constipation?	Card 1	2015-11-22	Palliative Care SCE
In the Cochrane review for radiotherapy for painful bone mets (2008), when can an effect be observed?	Card 1	2015-11-22	Palliative Care SCE
In the Cochrane review for radiotherapy for painful bone mets (2008) what is the median duration of a complete response?	Card 1	2015-11-22	Palliative Care SCE
In the Cochrane Review 'Coeliac plexus block for pain in pancreatic cancer (2012)', after how many weeks can a reduction in opioids be expected?	Card 1	2015-11-22	Palliative Care SCE
In Cochrane Reviews, what is the evidence of transdermal fentanyl for cancer pain?	Card 1	2015-11-22	Palliative Care SCE
How much evidence is there for interventions in cough in cancer?	Card 1	2015-11-22	Palliative Care SCE
What is the evidence for the use of levomepromazine in nausea/vomiting?	Card 1	2015-11-22	Palliative Care SCE
What is the mode of action of denosumab?	Card 1	2015-11-22	Palliative Care SCE
What is the mechanism of action of aprepitant?	Card 1	2015-11-22	Palliative Care SCE
What is the mechanism of action of a gransetron patch?	Card 1	2015-11-22	Palliative Care SCE
Which chemotherapies is there a risk of reversible cardiomyopathy?	Card 1	2015-11-22	Palliative Care SCE
In MS for the management of spasicity, 1st line is {{c1::baclofen or gabapentin}}, 2nd line is {{c2::tizanadine, diazepam, clonazepam or dantrolene}}.	Cloze 1	2015-11-22	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 8	2015-11-22	Palliative Care SCE
What are the indications for an ICD in heart failure?	Card 1	2015-11-22	Palliative Care SCE
In COPD, patients should be assessed for LTOT when their sats are {{c1::<92%}}, their {{c2::FEV1 <30%}} or there is evidence of {{c3::cyanosis}}, {{c4::polycythaemia}}, {{c5::peripheral oedema}} or {{c6::raised JVP}}.	Cloze 1	2015-11-22	Palliative Care SCE
A person who walks slower than contemporaries on level ground because of breathlessness, or has to stop for breath when walking at their own pace is graded on the MRC breathlessness scale at {{c1::3}}.	Cloze 1	2015-11-22	Palliative Care SCE
Frank has an area of skin which appears to be an ulcer. There is full thickness tissue loss with exposed bone (or directly palpable), and tendon.   He has a {{c1::Grade 4}} pressure ulcer.	Cloze 1	2015-11-22	Palliative Care SCE
Prescriptions for schedule 5 controlled drugs are valid for {{c1::6 months}}.	Cloze 1	2015-11-22	Palliative Care SCE
All NHS organisations are {{c1::required to have a}} Caldecott Guardian.	Cloze 1	2015-11-22	Palliative Care SCE
A {{c1::licence}} is required to import/export {{c2::Schedule 3}} drugs.	Cloze 1	2015-11-22	Palliative Care SCE
A {{c1::licence}} is required to import/export {{c2::Schedule 3}} drugs.	Cloze 2	2015-11-22	Palliative Care SCE
The coeliac plexus innervates the abdominal viscera from the {{c1::bottom of the oesophagus}}, to {{c2::half-way along the transverse colon}}, including the {{c3::liver, pancreas, spleen and kidneys}}.	Cloze 2	2015-11-22	Palliative Care SCE
Mirels’ scoring system is based on four characteristics:  {{c1::(1) site of lesion}} {{c2::(2) nature of lesion, i.e whether it is lytic, blastic or mixed}} {{c3::(3) size of lesion}} {{c4::(4) pain}}.	Cloze 2	2015-11-22	Palliative Care SCE
In patients with malignant pleural effusion, where only {{c1::partial pleural apposition can be achieved}}, {{c2::chemical pleurodesis may still be attempted}} and may provide {{c3::symptomatic relief}}.	Cloze 3	2015-11-22	Palliative Care SCE
{{c1::Talc}} is the most effective sclerosant available for {{c2::pleurodesis}}.	Cloze 1	2015-11-22	Palliative Care SCE
{{c1::Pleuritic chest pain}} and {{c2::fever}} are the {{c3::most common side effects}} of sclerosant administration.	Cloze 2	2015-11-22	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~15000}} new {{c2::colon/rectum cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 3	2015-11-22	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~19000}} new {{c2::colon/rectum cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-22	Palliative Care SCE
