"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
The adverse effects of megesterol acetate are oedema, VTE and <span class=cloze>[...]</span>.	The adverse effects of megesterol acetate are oedema, VTE and <span class=cloze>death</span>.<br><br>
A meta-analysis on the use of megestrol acetate showed <span class=cloze>[...]</span> evidence for effect.	A meta-analysis on the use of megestrol acetate showed <span class=cloze>poor</span> evidence for effect.<br><br>
A <span class=cloze>[...]</span> on the use of megestrol acetate showed poor evidence for effect.	A <span class=cloze>meta-analysis</span> on the use of megestrol acetate showed poor evidence for effect.<br><br>
The concurrent use of danazol (anabolic steroid) and a statin has been associated with:<div>1. <span class=cloze>[...]</span></div><div>2. pancreatitis</div><div>3. Rhabomyolysis</div>	The concurrent use of danazol (anabolic steroid) and a statin has been associated with:<div>1. <span class=cloze>acute renal impairment</span></div><div>2. pancreatitis</div><div>3. Rhabomyolysis</div><br><br>
The concurrent use of danazol (anabolic steroid) and a statin has been associated with:<div>1. acute renal impairment</div><div>2. <span class=cloze>[...]</span></div><div>3. Rhabomyolysis</div>	The concurrent use of danazol (anabolic steroid) and a statin has been associated with:<div>1. acute renal impairment</div><div>2. <span class=cloze>pancreatitis</span></div><div>3. Rhabomyolysis</div><br><br>
The concurrent use of danazol (anabolic steroid) and a statin has been associated with:<div>1. acute renal impairment</div><div>2. pancreatitis</div><div>3. <span class=cloze>[...]</span></div>	The concurrent use of danazol (anabolic steroid) and a statin has been associated with:<div>1. acute renal impairment</div><div>2. pancreatitis</div><div>3. <span class=cloze>Rhabomyolysis</span></div><br><br>
Low-grade <span class=cloze>[...]</span> occurs in &gt;80% of patients receiving thalidomide.	Low-grade <span class=cloze>peripheral neuropathy</span> occurs in &gt;80% of patients receiving thalidomide.<br><br>
Low-grade peripheral neuropathy occurs in <span class=cloze>[...]</span> of patients receiving thalidomide.	Low-grade peripheral neuropathy occurs in <span class=cloze>&gt;80%</span> of patients receiving thalidomide.<br><br>
Low-grade peripheral neuropathy occurs in &gt;80% of patients receiving <span class=cloze>[...]</span>.	Low-grade peripheral neuropathy occurs in &gt;80% of patients receiving <span class=cloze>thalidomide</span>.<br><br>
In thalidomide-induced peripheral neuropathy:<div>1. <span class=cloze>[...]</span> is preserved</div><div>2. Mild decrease in sensation distally</div><div>3. Reflexes, especially ankle jerks, may be depressed/absent</div><div>4. Distal -&gt; proximal progression</div>	In thalidomide-induced peripheral neuropathy:<div>1. <span class=cloze>Strength</span> is preserved</div><div>2. Mild decrease in sensation distally</div><div>3. Reflexes, especially ankle jerks, may be depressed/absent</div><div>4. Distal -&gt; proximal progression</div><br><br>
In thalidomide-induced peripheral neuropathy:<div>1. Strength is preserved</div><div>2. Mild decrease in <span class=cloze>[...]</span> distally</div><div>3. Reflexes, especially ankle jerks, may be depressed/absent</div><div>4. Distal -&gt; proximal progression</div>	In thalidomide-induced peripheral neuropathy:<div>1. Strength is preserved</div><div>2. Mild decrease in <span class=cloze>sensation</span> distally</div><div>3. Reflexes, especially ankle jerks, may be depressed/absent</div><div>4. Distal -&gt; proximal progression</div><br><br>
In thalidomide-induced peripheral neuropathy:<div>1. Strength is preserved</div><div>2. Mild decrease in sensation distally</div><div>3. Reflexes, especially <span class=cloze>[...]</span>, may be <span class=cloze>[...]</span></div><div>4. Distal -&gt; proximal progression</div>	In thalidomide-induced peripheral neuropathy:<div>1. Strength is preserved</div><div>2. Mild decrease in sensation distally</div><div>3. Reflexes, especially <span class=cloze>ankle jerks</span>, may be <span class=cloze>depressed/absent</span></div><div>4. Distal -&gt; proximal progression</div><br><br>
In thalidomide-induced peripheral neuropathy:<div>1. Strength is preserved</div><div>2. Mild decrease in sensation distally</div><div>3. Reflexes, especially ankle jerks, may be depressed/absent</div><div>4. <span class=cloze>[...]</span> progression</div>	In thalidomide-induced peripheral neuropathy:<div>1. Strength is preserved</div><div>2. Mild decrease in sensation distally</div><div>3. Reflexes, especially ankle jerks, may be depressed/absent</div><div>4. <span class=cloze>Distal -&gt; proximal</span> progression</div><br><br>
<span class=cloze>[...]</span> increase the risk of VTE in patients with multiple myeloma.	<span class=cloze>Thalidomide and lenalidomide</span> increase the risk of VTE in patients with multiple myeloma.<br><br>
Thalidomide and lenalidomide increase the risk of <span class=cloze>[...]</span> in patients with multiple myeloma.	Thalidomide and lenalidomide increase the risk of <span class=cloze>VTE</span> in patients with multiple myeloma.<br><br>
Thalidomide and lenalidomide increase the risk of VTE in patients with <span class=cloze>[...]</span>.	Thalidomide and lenalidomide increase the risk of VTE in patients with <span class=cloze>multiple myeloma</span>.<br><br>
Thalidomide is associated with:<div>1. <span class=cloze>[...]</span></div><div>2. Oedema</div><div>3. Hypotension</div>	Thalidomide is associated with:<div>1. <span class=cloze>Arrhythmia</span></div><div>2. Oedema</div><div>3. Hypotension</div><br><br>
Thalidomide is associated with:<div>1. Arrhythmia</div><div>2. <span class=cloze>[...]</span></div><div>3. Hypotension</div>	Thalidomide is associated with:<div>1. Arrhythmia</div><div>2. <span class=cloze>Oedema</span></div><div>3. Hypotension</div><br><br>
Thalidomide is associated with:<div>1. Arrhythmia</div><div>2. Oedema</div><div>3. <span class=cloze>[...]</span></div>	Thalidomide is associated with:<div>1. Arrhythmia</div><div>2. Oedema</div><div>3. <span class=cloze>Hypotension</span></div><br><br>
A <span class=cloze>[...]</span> rash may occur 10-14 days after starting thalidomide.	A <span class=cloze>pruritic and maculopapular</span> rash may occur 10-14 days after starting thalidomide.<br><br>
A pruritic and maculopapular rash may occur <span class=cloze>[...]</span> after starting thalidomide.	A pruritic and maculopapular rash may occur <span class=cloze>10-14 days</span> after starting thalidomide.<br><br>
A pruritic and maculopapular rash may occur 10-14 days after starting <span class=cloze>[...]</span>.	A pruritic and maculopapular rash may occur 10-14 days after starting <span class=cloze>thalidomide</span>.<br><br>
Severe skin reactions, such as <span class=cloze>[...]</span> may occur with thalidomide.	Severe skin reactions, such as <span class=cloze>Stevens-Johnson syndrome and toxic epidermal necrolysis</span> may occur with thalidomide.<br><br>
Severe skin reactions, such as Stevens-Johnson syndrome and toxic epidermal necrolysis may occur with <span class=cloze>[...]</span>.	Severe skin reactions, such as Stevens-Johnson syndrome and toxic epidermal necrolysis may occur with <span class=cloze>thalidomide</span>.<br><br>
Skin complications from thalidomide appear more likely when combined with <span class=cloze>[...]</span>.	Skin complications from thalidomide appear more likely when combined with <span class=cloze>corticosteroids</span>.<br><br>
Skin complications from thalidomide appear <span class=cloze>[...]</span> when combined with corticosteroids.	Skin complications from thalidomide appear <span class=cloze>more likely</span> when combined with corticosteroids.<br><br>
With thalidomide, contraception should be used:<div>1. More than <span class=cloze>[...]</span> starting treatment</div><div>2. During treatment</div><div>3. 4 weeks after stopping treatment</div>	With thalidomide, contraception should be used:<div>1. More than <span class=cloze>4 weeks before</span> starting treatment</div><div>2. During treatment</div><div>3. 4 weeks after stopping treatment</div><br><br>
With thalidomide, contraception should be used:<div>1. More than 4 weeks before starting treatment</div><div>2. <span class=cloze>[...]</span></div><div>3. 4 weeks after stopping treatment</div>	With thalidomide, contraception should be used:<div>1. More than 4 weeks before starting treatment</div><div>2. <span class=cloze>During treatment</span></div><div>3. 4 weeks after stopping treatment</div><br><br>
With thalidomide, contraception should be used:<div>1. More than 4 weeks before starting treatment</div><div>2. During treatment</div><div>3. <span class=cloze>[...]</span> stopping treatment</div>	With thalidomide, contraception should be used:<div>1. More than 4 weeks before starting treatment</div><div>2. During treatment</div><div>3. <span class=cloze>4 weeks after</span> stopping treatment</div><br><br>
Peripheral neuropathy is graded:<div>1. <span class=cloze>[...]</span> loss of function</div><div>2. Interfering with function, but not with activities of daily living</div><div>3. Interfering with ADLs</div><div>4. Disabling</div>	Peripheral neuropathy is graded:<div>1. <span class=cloze>No</span> loss of function</div><div>2. Interfering with function, but not with activities of daily living</div><div>3. Interfering with ADLs</div><div>4. Disabling</div><br><br>So - with medications which cause peripheral neuropathy:<div>- At grade 1, consider reducing the dose<br /><div>- At grade 2, the dose should be reduced or drug stopped. If there is an improvement to grade 1 or better, consider restarting treatment (risk/benefit). If no improvement, stop treatment.</div></div><div>- At grade 3 or 4, stop treatment</div>
Peripheral neuropathy is graded:<div>1. No loss of function</div><div>2. <span class=cloze>[...]</span> function, but not with <span class=cloze>[...]</span></div><div>3. Interfering with ADLs</div><div>4. Disabling</div>	Peripheral neuropathy is graded:<div>1. No loss of function</div><div>2. <span class=cloze>Interfering with</span> function, but not with <span class=cloze>activities of daily living</span></div><div>3. Interfering with ADLs</div><div>4. Disabling</div><br><br>So - with medications which cause peripheral neuropathy:<div>- At grade 1, consider reducing the dose<br /><div>- At grade 2, the dose should be reduced or drug stopped. If there is an improvement to grade 1 or better, consider restarting treatment (risk/benefit). If no improvement, stop treatment.</div></div><div>- At grade 3 or 4, stop treatment</div>
Peripheral neuropathy is graded:<div>1. No loss of function</div><div>2. Interfering with function, but not with activities of daily living</div><div>3. <span class=cloze>[...]</span> with ADLs</div><div>4. Disabling</div>	Peripheral neuropathy is graded:<div>1. No loss of function</div><div>2. Interfering with function, but not with activities of daily living</div><div>3. <span class=cloze>Interfering</span> with ADLs</div><div>4. Disabling</div><br><br>So - with medications which cause peripheral neuropathy:<div>- At grade 1, consider reducing the dose<br /><div>- At grade 2, the dose should be reduced or drug stopped. If there is an improvement to grade 1 or better, consider restarting treatment (risk/benefit). If no improvement, stop treatment.</div></div><div>- At grade 3 or 4, stop treatment</div>
Peripheral neuropathy is graded:<div>1. No loss of function</div><div>2. Interfering with function, but not with activities of daily living</div><div>3. Interfering with ADLs</div><div>4. <span class=cloze>[...]</span></div>	Peripheral neuropathy is graded:<div>1. No loss of function</div><div>2. Interfering with function, but not with activities of daily living</div><div>3. Interfering with ADLs</div><div>4. <span class=cloze>Disabling</span></div><br><br>So - with medications which cause peripheral neuropathy:<div>- At grade 1, consider reducing the dose<br /><div>- At grade 2, the dose should be reduced or drug stopped. If there is an improvement to grade 1 or better, consider restarting treatment (risk/benefit). If no improvement, stop treatment.</div></div><div>- At grade 3 or 4, stop treatment</div>
Tamsulosin is a <span class=cloze>[...]</span>.	Tamsulosin is a <span class=cloze>uroselective alpha-1-adrenergic receptor antagonist</span>.<br><br>
Dutasteride and finasteride are <span class=cloze>[...]</span>.	Dutasteride and finasteride are <span class=cloze>5-alpha-reductase inhibitors</span>.<br><br>
Oxybutynin is an <span class=cloze>[...]</span>.	Oxybutynin is an <span class=cloze>anti-muscarinic</span>.<br><br>
In anaemia of chronic disease, plasma ferritin is <span class=cloze>[...]</span>, and transferrin concentration is low.	In anaemia of chronic disease, plasma ferritin is <span class=cloze>high</span>, and transferrin concentration is low.<br><br>
In anaemia of chronic disease, plasma ferritin is high, and transferrin concentration is <span class=cloze>[...]</span>.	In anaemia of chronic disease, plasma ferritin is high, and transferrin concentration is <span class=cloze>low</span>.<br><br>
The typical dietary intake of potassium is <span class=cloze>[...]</span>mmol.	The typical dietary intake of potassium is <span class=cloze>40-80</span>mmol.<br><br>
The emergency treatment of hyperkalaemia:<div>1. Stop the <span class=cloze>[...]</span></div><div>2. 10ml of 10% calcium gluconate IV</div><div>3. Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)</div>	The emergency treatment of hyperkalaemia:<div>1. Stop the <span class=cloze>drug causing it</span></div><div>2. 10ml of 10% calcium gluconate IV</div><div>3. Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)</div><br><br>
The emergency treatment of hyperkalaemia:<div>1. Stop the drug causing it</div><div>2. <span class=cloze>[...]</span></div><div>3. Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)</div>	The emergency treatment of hyperkalaemia:<div>1. Stop the drug causing it</div><div>2. <span class=cloze>10ml of 10% calcium gluconate IV</span></div><div>3. Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)</div><br><br>
The emergency treatment of hyperkalaemia:<div>1. Stop the drug causing it</div><div>2. 10ml of 10% calcium gluconate IV</div><div>3. <span class=cloze>[...]</span></div>	The emergency treatment of hyperkalaemia:<div>1. Stop the drug causing it</div><div>2. 10ml of 10% calcium gluconate IV</div><div>3. <span class=cloze>Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)</span></div><br><br>
Cisplatin can cause a low serum <span class=cloze>[...]</span>.	Cisplatin can cause a low serum <span class=cloze>magnesium</span>.<br><br>
How does capsacin work?	Depletes substance P at sensory nerve endings
C fibers are <span class=cloze>[...]</span>, have a small diameter and low conduction velocity.	C fibers are <span class=cloze>unmyelinated</span>, have a small diameter and low conduction velocity.<br><br>
C fibers are unmyelinated, have a <span class=cloze>[...]</span> and low conduction velocity.	C fibers are unmyelinated, have a <span class=cloze>small diameter</span> and low conduction velocity.<br><br>
C fibers are unmyelinated, have a small diameter and <span class=cloze>[...]</span> velocity.	C fibers are unmyelinated, have a small diameter and <span class=cloze>low conduction</span> velocity.<br><br>
&nbsp;A-delta fibers are thinly <span class=cloze>[...]</span> and they send impulses faster than unmyelinated C fibers.	&nbsp;A-delta fibers are thinly <span class=cloze>myelinated</span> and they send impulses faster than unmyelinated C fibers.<br><br>
&nbsp;A-delta fibers are thinly myelinated and they send impulses <span class=cloze>[...]</span> than unmyelinated C fibers.	&nbsp;A-delta fibers are thinly myelinated and they send impulses <span class=cloze>faster</span> than unmyelinated C fibers.<br><br>
<span class=cloze>[...]</span> is released from C-fibres.	<span class=cloze>Substance P</span> is released from C-fibres.<br><br>
Substance P is released from <span class=cloze>[...]</span>.	Substance P is released from <span class=cloze>C-fibres</span>.<br><br>
For capsasin, what is the NNT for pain which is 'much or very much better' in post-herpeic neuralgia at:<div><br /></div><div>A - 8 weeks</div><div>B - 12 weeks</div>	A - 8.8<div>B - 7</div>
For capsasin, what is the NNT for pain which is 'much or very much better' in HIV related neuropathic pain at 12 weeks?<div><br /></div>	5.8
What is the NNT for topical NSAIDs to achieve a 50% pain reduction?	4.5
Baclofen works at <span class=cloze>[...]</span>-receptors.	Baclofen works at <span class=cloze>GABA</span>-receptors.<br><br>
Baclofen should be <span class=cloze>[...]</span> in renal impairment.	Baclofen should be <span class=cloze>dose-reduced</span> in renal impairment.<br><br>
Baclofen should be dose-reduced in <span class=cloze>[...]</span>.	Baclofen should be dose-reduced in <span class=cloze>renal impairment</span>.<br><br>
Dantroline acts directly on <span class=cloze>[...]</span> by binding to ryanodine receptors.	Dantroline acts directly on <span class=cloze>skeletal muscles</span> by binding to ryanodine receptors.<br><br>
Dantroline acts directly on skeletal muscles by binding to <span class=cloze>[...]</span> receptors.	Dantroline acts directly on skeletal muscles by binding to <span class=cloze>ryanodine</span> receptors.<br><br>
Dantrolene use should be monitored with <span class=cloze>[...]</span>.	Dantrolene use should be monitored with <span class=cloze>LFTs</span>.<br><br>
Tizanadine is a <span class=cloze>[...]</span> in the CNS at supraspinal and spinal levels.	Tizanadine is a <span class=cloze>central alpha-2 agonist</span> in the CNS at supraspinal and spinal levels.<br><br>
Tizanadine is a central alpha-2 agonist in the CNS at <span class=cloze>[...]</span> levels.	Tizanadine is a central alpha-2 agonist in the CNS at <span class=cloze>supraspinal and spinal</span> levels.<br><br>
What receptor does ketamine act on?	NMDA-receptor antagonist.
Ketamine causes hepatic enzyme <span class=cloze>[...]</span>.	Ketamine causes hepatic enzyme <span class=cloze>induction</span>.<br><br>
How many children worldwide could benefit from palliative care?	~20 million
A rotigotine patch will need to be removed before an <span class=cloze>[...]</span> scan.	A rotigotine patch will need to be removed before an <span class=cloze>MRI</span> scan.<br><br>
A hyoscine patch will need to be removed before an <span class=cloze>[...]</span> scan.	A hyoscine patch will need to be removed before an <span class=cloze>MRI</span> scan.<br><br>
A diclofenac patch will need to be removed before an <span class=cloze>[...]</span> scan.	A diclofenac patch will need to be removed before an <span class=cloze>MRI</span> scan.<br><br>
A lidocaine patch will need to be removed before an <span class=cloze>[...]</span> scan.	A lidocaine patch will need to be removed before an <span class=cloze>MRI</span> scan.<br><br>
What is the conversion from dihydrocodine to morphine?	10:1
What is the conversion from tramadol to morphine?	10:1
What is the conversion from oral morphine to buprenorphine?	100:1<div><br /><div><b>Multiply by 10</b> to get the <i>total 24 hour dose in micrograms (300mg oral morphine in 24 hours = 3000 micrograms buprennorphine in 24 hours)</i><div><b>Then, divide by 24 to get the hourly rate.</b></div></div></div>
What is the conversion from oral morphine to fentanyl?	100:1<div><br /><div><b>Multiply by 10</b>&nbsp;to get the&nbsp;<i>total 24 hour dose in micrograms (300mg oral morphine in 24 hours = 3000 micrograms fentanyl in 24 hours)</i><div><b>Then, divide by 24 to get the hourly rate.</b></div></div></div>
What is the conversion rate of oral morphine to alfentanyl?	30:1
Benzodiazepines increase the risk of car accidents by <span class=cloze>[...]</span>.	Benzodiazepines increase the risk of car accidents by <span class=cloze>60-80%</span>.<br><br>
Spinal analgesia is effective in <span class=cloze>[...]</span> of patients.	Spinal analgesia is effective in <span class=cloze>&gt;50%</span> of patients.<br><br>
Clonidine is an <span class=cloze>[...]</span> receptor agonist.	"Clonidine is an <span class=cloze>alpha-adrenergic</span> receptor agonist.<br><br>Used as a spinal drug in neuropathic pain.<div>Can cause <font color=""#0000ff"">dose-related hypotension and bradycardia</font>.</div><div>Abrupt cessation can cause <b>rebound hypertension</b>.</div>"
<span class=cloze>[...]</span> is used to check the correct position of an NG tube.	<span class=cloze>pH paper</span> is used to check the correct position of an NG tube.<br><br>
Central sleep apnoea is reported to occur in <span class=cloze>[...]</span> on methadone maintainance.	Central sleep apnoea is reported to occur in <span class=cloze>30% of patients</span> on methadone maintainance.<br><br>
Central sleep apnoea is reported to occur in 30% of patients on <span class=cloze>[...]</span>.	Central sleep apnoea is reported to occur in 30% of patients on <span class=cloze>methadone maintainance</span>.<br><br>
Cisplatin can cause a <span class=cloze>[...]</span> magnesium.	Cisplatin can cause a <span class=cloze>low serum</span> magnesium.<br><br>
What is the maximum mortality attributable to pprolonged QT?	6 per 10000 patient-years
What happens to the serum concentration of oxycodone when fluconazole is taken?	The oxycodone concentration goes up - fluconazole is a hepatic enzyme inhibitor.
What happens to the serum concentration of fentanyl when carbamazapine is given?	The concentration of fentanyl goes down - carbamazapine is a hepatic enzyme inducer.
Acute dystonias are associated with <span class=cloze>[...]</span>.	Acute dystonias are associated with <span class=cloze>dopamine receptor antagonists</span>.<br><br>
What % of patients treated long-term with antipsychotics develop parkinsonism?	30-60%
To treat acute dystonia caused by antipsychotics:<div>1. <span class=cloze>[...]</span> the causative drug</div><div>2. Immediate relief - <b>diazepam 5mg iv or procyclidine 5-10mg IM</b></div><div>3. Follow this with orphenadrine 50mg BD for one week.</div>	To treat acute dystonia caused by antipsychotics:<div>1. <span class=cloze>Stop, switch or reduce</span> the causative drug</div><div>2. Immediate relief - <b>diazepam 5mg iv or procyclidine 5-10mg IM</b></div><div>3. Follow this with orphenadrine 50mg BD for one week.</div><br><br>
To treat acute dystonia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Immediate relief - <b><span class=cloze>[...]</span> or <span class=cloze>[...]</span></b></div><div>3. Follow this with orphenadrine 50mg BD for one week.</div>	To treat acute dystonia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Immediate relief - <b><span class=cloze>diazepam 5mg iv</span> or <span class=cloze>procyclidine 5-10mg IM</span></b></div><div>3. Follow this with orphenadrine 50mg BD for one week.</div><br><br>
To treat acute dystonia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Immediate relief - <b>diazepam 5mg iv or procyclidine 5-10mg IM</b></div><div>3. Follow this with <span class=cloze>[...]</span> for one week.</div>	To treat acute dystonia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Immediate relief - <b>diazepam 5mg iv or procyclidine 5-10mg IM</b></div><div>3. Follow this with <span class=cloze>orphenadrine 50mg BD</span> for one week.</div><br><br>
To treat acute akathisia caused by antipsychotics:<div>1. <span class=cloze>[...]</span> the causative drug</div><div>2. Add <b>propranolol 10mg tds </b>increasing every few days to 40mg tds max</div><div>3. Add a BZD if the patient is very distressed</div>	To treat acute akathisia caused by antipsychotics:<div>1. <span class=cloze>Stop, switch or reduce</span> the causative drug</div><div>2. Add <b>propranolol 10mg tds </b>increasing every few days to 40mg tds max</div><div>3. Add a BZD if the patient is very distressed</div><br><br>
To treat acute akathisia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Add <b><span class=cloze>[...]</span> </b>increasing every few days to 40mg tds max</div><div>3. Add a BZD if the patient is very distressed</div>	To treat acute akathisia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Add <b><span class=cloze>propranolol 10mg tds</span> </b>increasing every few days to 40mg tds max</div><div>3. Add a BZD if the patient is very distressed</div><br><br>
To treat acute akathisia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Add <b>propranolol 10mg tds </b>increasing every few days to 40mg tds max</div><div>3. Add a <span class=cloze>[...]</span> if the patient is very distressed</div>	To treat acute akathisia caused by antipsychotics:<div>1. Stop, switch or reduce the causative drug</div><div>2. Add <b>propranolol 10mg tds </b>increasing every few days to 40mg tds max</div><div>3. Add a <span class=cloze>BZD</span> if the patient is very distressed</div><br><br>
In drug-induced tardive dyskinesia, what % of patients have complete resolution of symptoms <b>3 months</b> after stopping the causative drug?	30%
In drug-induced tardive dyskinesia, what % of patients have complete resolution of symptoms&nbsp;<b>5 years</b>&nbsp;after stopping the causative drug?	70%
NICE recommends nutritional support for patients with:<div>- BMI &lt;<span class=cloze>[...]</span></div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;5 days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div>	NICE recommends nutritional support for patients with:<div>- BMI &lt;<span class=cloze>18</span></div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;5 days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div><br><br>
NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;<span class=cloze>[...]</span> in the last <span class=cloze>[...]</span> months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;5 days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div>	NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;<span class=cloze>10%</span> in the last <span class=cloze>3-6</span> months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;5 days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div><br><br>
NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;<span class=cloze>[...]</span> and unintentional weight loss of &gt;<span class=cloze>[...]</span></div><div>- Inadequate oral intake for &gt;5 days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div>	NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;<span class=cloze>20</span> and unintentional weight loss of &gt;<span class=cloze>5%</span></div><div>- Inadequate oral intake for &gt;5 days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div><br><br>
NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;<span class=cloze>[...]</span> days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div>	NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;<span class=cloze>5</span> days</div><div>- malabsorption, increased nutrient losses, increased catabolism.</div><br><br>
NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;5 days</div><div>- <span class=cloze>[...]</span>, increased <span class=cloze>[...]</span> losses, increased <span class=cloze>[...]</span>.</div>	NICE recommends nutritional support for patients with:<div>- BMI &lt;18</div><div>- Unintentional weight loss of &gt;10% in the last 3-6 months</div><div>- BMI &lt;20 and unintentional weight loss of &gt;5%</div><div>- Inadequate oral intake for &gt;5 days</div><div>- <span class=cloze>malabsorption</span>, increased <span class=cloze>nutrient</span> losses, increased <span class=cloze>catabolism</span>.</div><br><br>
The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;<span class=cloze>[...]</span>% over the past <span class=cloze>[...]</span> months</div><div>2. BMI &lt;20 and weight loss of &gt;2%</div><div>3. Sarcopenia and weight loss &gt;2%</div>	The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;<span class=cloze>5</span>% over the past <span class=cloze>6</span> months</div><div>2. BMI &lt;20 and weight loss of &gt;2%</div><div>3. Sarcopenia and weight loss &gt;2%</div><br><br>
The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;5% over the past 6 months</div><div>2. BMI &lt;<span class=cloze>[...]</span> and weight loss of &gt;<span class=cloze>[...]</span>%</div><div>3. Sarcopenia and weight loss &gt;2%</div>	The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;5% over the past 6 months</div><div>2. BMI &lt;<span class=cloze>20</span> and weight loss of &gt;<span class=cloze>2</span>%</div><div>3. Sarcopenia and weight loss &gt;2%</div><br><br>
The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;5% over the past 6 months</div><div>2. BMI &lt;20 and weight loss of &gt;2%</div><div>3. <span class=cloze>[...]</span> and weight loss &gt;2%</div>	The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;5% over the past 6 months</div><div>2. BMI &lt;20 and weight loss of &gt;2%</div><div>3. <span class=cloze>Sarcopenia</span> and weight loss &gt;2%</div><br><br>
The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;5% over the past 6 months</div><div>2. BMI &lt;20 and weight loss of &gt;2%</div><div>3. Sarcopenia and weight loss &gt;<span class=cloze>[...]</span>%</div>	The diagnosis of cancer-cachexia is <b>any</b> of the following:<div>1. Weight loss &gt;5% over the past 6 months</div><div>2. BMI &lt;20 and weight loss of &gt;2%</div><div>3. Sarcopenia and weight loss &gt;<span class=cloze>2</span>%</div><br><br>
What BMI is a high-risk for refeeding syndrome?	&lt;16
What % weight loss over 3-6 months is a high risk for refeeding syndrome?	&gt;15%
After how many days of little to no nutritional intake is a high risk for refeeding syndrome?	10 days
